Instance:Instances/0/100/3/2/instance0-100-3-2.data
Solution status:Mip1
Optimal Value=29
temps écoulé (en secondes):1.54554
IdMachine Nombre de jobs ordonnancés
0 15
1 14
IdMachine n°Job Si Fi 
0 12 960 1011
0 17 1185 1213
0 19 1068 1121
0 26 1338 1357
0 33 1124 1180
0 45 1390 1402
0 54 813 865
0 62 1026 1055
0 64 88 168
0 70 912 1077
0 81 1368 1380
0 82 240 344
0 83 1214 1274
0 90 567 794
0 99 463 636
1 2 861 893
1 11 123 329
1 21 1052 1105
1 29 1223 1318
1 32 1106 1402
1 42 540 594
1 46 930 1027
1 52 1095 1170
1 57 702 850
1 65 1250 1350
1 78 1044 1138
1 80 641 825
1 96 546 559
1 97 364 402
Instance:Instances/0/100/3/2/instance1-100-3-2.data
Solution status:Mip1
Optimal Value=25
temps écoulé (en secondes):2.23612
IdMachine Nombre de jobs ordonnancés
0 14
1 11
IdMachine n°Job Si Fi 
0 5 420 499
0 14 981 1046
0 24 1411 1435
0 31 1076 1137
0 40 71 344
0 53 1335 1399
0 62 912 931
0 73 680 835
0 78 474 821
0 86 410 462
0 89 1304 1334
0 90 1176 1285
0 93 1366 1405
0 94 863 1313
1 1 742 765
1 13 1090 1148
1 19 1397 1401
1 30 918 1078
1 43 1165 1291
1 46 535 694
1 49 782 917
1 66 99 665
1 67 245 422
1 92 175 1299
1 95 1305 1332
Instance:Instances/0/100/3/2/instance2-100-3-2.data
Solution status:Mip1
Optimal Value=31
temps écoulé (en secondes):1.93024
IdMachine Nombre de jobs ordonnancés
0 14
1 17
IdMachine n°Job Si Fi 
0 30 1065 1115
0 32 1405 1418
0 34 1424 1426
0 36 868 1045
0 39 1211 1302
0 40 1341 1349
0 42 1426 1431
0 45 1130 1324
0 62 324 1195
0 67 257 801
0 76 1362 1402
0 77 338 817
0 78 385 714
0 86 154 1065
1 14 857 1024
1 20 217 391
1 22 400 425
1 27 751 786
1 37 667 713
1 38 476 578
1 46 1370 1385
1 48 1278 1331
1 51 401 631
1 64 1239 1387
1 68 1114 1133
1 79 274 373
1 83 1026 1131
1 88 1424 1431
1 90 825 844
1 93 1139 1244
1 99 91 106
Instance:Instances/0/100/3/2/instance3-100-3-2.data
Solution status:Mip1
Optimal Value=28
temps écoulé (en secondes):1.39227
IdMachine Nombre de jobs ordonnancés
0 14
1 14
IdMachine n°Job Si Fi 
0 11 385 835
0 24 562 698
0 27 1080 1111
0 32 1405 1429
0 34 1316 1331
0 38 845 932
0 41 940 1004
0 46 99 369
0 53 1291 1300
0 80 33 166
0 87 754 805
0 92 1341 1382
0 95 1396 1406
0 98 1176 1285
1 2 610 872
1 4 1004 1223
1 10 1375 1437
1 15 82 236
1 17 484 587
1 25 1241 1292
1 36 1252 1281
1 42 1242 1313
1 51 783 940
1 62 662 754
1 63 1323 1343
1 73 872 1171
1 83 268 957
1 88 332 420
Instance:Instances/0/100/3/2/instance4-100-3-2.data
Solution status:Mip1
Optimal Value=31
temps écoulé (en secondes):1.60401
IdMachine Nombre de jobs ordonnancés
0 12
1 19
IdMachine n°Job Si Fi 
0 23 966 1022
0 25 1387 1401
0 31 1070 1139
0 36 1208 1294
0 38 1079 1183
0 52 740 1003
0 53 1053 1070
0 61 226 503
0 67 361 1003
0 68 1195 1436
0 72 414 942
0 74 1170 1373
1 5 693 716
1 14 1287 1328
1 17 1248 1280
1 34 1365 1392
1 35 41 127
1 40 1193 1236
1 45 1165 1184
1 49 1419 1436
1 50 1409 1418
1 51 1405 1412
1 55 993 1081
1 56 942 1099
1 58 1427 1434
1 77 127 333
1 78 445 447
1 81 1328 1338
1 83 465 612
1 90 751 939
1 97 1331 1333
Instance:Instances/0/100/3/2/instance5-100-3-2.data
Solution status:Mip1
Optimal Value=32
temps écoulé (en secondes):2.6498
IdMachine Nombre de jobs ordonnancés
0 16
1 16
IdMachine n°Job Si Fi 
0 16 1204 1343
0 22 1384 1397
0 25 961 1165
0 29 650 662
0 30 580 704
0 40 90 288
0 43 1006 1381
0 47 1349 1365
0 58 1011 1139
0 64 346 384
0 77 1423 1427
0 82 1383 1409
0 90 932 994
0 94 1273 1290
0 96 704 771
0 99 822 854
1 1 1438 1439
1 3 1420 1429
1 9 1369 1407
1 13 635 736
1 23 1068 1077
1 28 1021 1057
1 31 1324 1332
1 37 1338 1366
1 41 1213 1243
1 45 1111 1305
1 66 1325 1386
1 74 839 999
1 81 43 725
1 83 278 589
1 86 1248 1291
1 93 593 725
Instance:Instances/0/100/3/2/instance6-100-3-2.data
Solution status:Mip1
Optimal Value=31
temps écoulé (en secondes):1.25761
IdMachine Nombre de jobs ordonnancés
0 16
1 15
IdMachine n°Job Si Fi 
0 9 180 234
0 11 1379 1398
0 12 1155 1176
0 14 1136 1303
0 18 1330 1376
0 31 532 894
0 33 332 354
0 34 1306 1309
0 37 1427 1435
0 49 1408 1425
0 59 1426 1435
0 63 466 488
0 68 988 1128
0 77 771 1072
0 92 1323 1327
0 99 503 504
1 0 1393 1411
1 2 1236 1280
1 3 1418 1438
1 16 3 262
1 19 1296 1327
1 20 367 816
1 22 547 695
1 41 974 983
1 45 273 411
1 46 1317 1349
1 47 1411 1413
1 56 1092 1129
1 70 719 1097
1 76 726 789
1 78 1365 1385
Instance:Instances/0/100/3/2/instance7-100-3-2.data
Solution status:Mip1
Optimal Value=26
temps écoulé (en secondes):1.73932
IdMachine Nombre de jobs ordonnancés
0 13
1 13
IdMachine n°Job Si Fi 
0 10 573 1075
0 15 684 840
0 19 1223 1310
0 22 1415 1420
0 34 381 506
0 39 1353 1432
0 43 524 550
0 44 1284 1338
0 64 600 648
0 72 996 1271
0 79 842 982
0 90 1081 1266
0 99 199 367
1 20 764 947
1 24 901 1254
1 28 1322 1367
1 35 682 874
1 41 1296 1303
1 46 618 726
1 56 1048 1221
1 58 161 177
1 62 289 373
1 67 483 575
1 76 1254 1281
1 77 1400 1402
1 91 1403 1433
Instance:Instances/0/100/3/2/instance8-100-3-2.data
Solution status:Mip1
Optimal Value=24
temps écoulé (en secondes):1.88977
IdMachine Nombre de jobs ordonnancés
0 13
1 11
IdMachine n°Job Si Fi 
0 3 173 278
0 8 406 1359
0 9 381 502
0 18 891 996
0 29 1228 1229
0 35 142 168
0 49 1329 1346
0 54 1382 1435
0 58 276 904
0 73 1121 1360
0 76 914 1114
0 92 527 854
0 94 1373 1432
1 1 461 476
1 13 1133 1165
1 20 912 980
1 25 527 634
1 42 1300 1340
1 43 135 249
1 61 1369 1430
1 68 67 679
1 77 1202 1279
1 83 1402 1412
1 93 890 1133
Instance:Instances/0/100/3/2/instance9-100-3-2.data
Solution status:Mip1
Optimal Value=29
temps écoulé (en secondes):2.82063
IdMachine Nombre de jobs ordonnancés
0 15
1 14
IdMachine n°Job Si Fi 
0 15 359 547
0 17 1418 1421
0 22 1204 1281
0 24 153 176
0 29 1309 1366
0 30 1349 1439
0 45 883 1020
0 49 1439 1440
0 55 577 1012
0 65 255 325
0 66 970 1059
0 77 588 767
0 78 1045 1183
0 82 934 1095
0 94 1112 1326
1 4 896 1122
1 5 929 1041
1 19 642 739
1 20 818 864
1 21 1260 1336
1 26 1131 1213
1 42 1051 1073
1 44 1328 1405
1 54 1188 1257
1 57 463 466
1 63 1431 1440
1 69 584 695
1 73 1102 1149
1 90 118 452
